"item_id","section","legacy_score","statement","disposition","embedded_assumption","ambiguity_and_bias","gaming_risk","role_or_culture_risk","required_evidence"
"L016","Team Workflow","1","Team has digital collaboration space dedicated to the team","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L017","Team Workflow","1","Team has management support to acquire additional non-standard tools needed to be successful","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L018","Team Workflow","1","Product Owner works closely with the rest of the team","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L019","Team Workflow","2","Team has flexibility to schedule face-to-face video chats as needed","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L020","Team Workflow","2","Other key stakeholders are available to the team","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L021","Team Workflow","2","Team members are empowered to get time with those they need without regard to organizational hierarchy","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L022","Team Workflow","3","Team self-organizes around workflow improvements, continuously optimizing how collaboration and communication happen without relying on formal direction.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L023","Team Working Agreements","-1","Chaos, no defined standards or processes have been formed.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L024","Team Working Agreements","1","The team has defined practices such as a definition of done, meeting cadences, coding standards, story sizing guidelines, and version control practices.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L025","Team Working Agreements","1","Everyone is aware of the practices.","rewrite","Assumes endorsement of this statement represents organizational capability.","absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L026","Team Working Agreements","1","Everyone follows the practices consistently.","rewrite","Assumes endorsement of this statement represents organizational capability.","absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L027","Team Working Agreements","1","Team has discussed and agreed on the practices they will follow.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L028","Team Working Agreements","1","If asked, all team members would describe this common set of practices consistently .","rewrite","Assumes endorsement of this statement represents organizational capability.","absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L029","Team Working Agreements","1","All team members generally respect and mostly follow the agreements.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; potentially compound statement; absolute wording; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L030","Team Working Agreements","2","Working agreements are revisited periodically (such as during retrospectives) and refined over time as team evolves and improves.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L031","Team Working Agreements","2","The team generally self enforces the working agreements and does not rely on a scrum master or other single authority figure.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","undefined evaluative or frequency term; potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L032","Team Working Agreements","3","Working agreements include elements that encourage innovation, cross-training, excellent collaboration, and growth for the team members.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L033","Cross Team Working Agreements","-1","Processes are decided and documented by what the performing team feels is required, i.e not collaboratively.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L034","Cross Team Working Agreements","-1","Ad-hoc and unplanned working agreements are in place around security scans, risk management, export control, cross team integration for full feature integration regarding release and deploy procedures.","split-or-operationalize","Assumes respondents can accurately report the operational condition without a defined window or data source.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L035","Cross Team Working Agreements","1","An attempt at collaboratively authoring working agreements has been made and they meet the needs of most parties.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L036","Cross Team Working Agreements","1","Scrum of scrums in place.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L037","Cross Team Working Agreements","1","Key dependencies between teams are mostly delivered on-time.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L038","Cross Team Working Agreements","1","Working agreements have been collaboratively authored, and they meet the needs of all concerned.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L039","Cross Team Working Agreements","1","Working agreements may be expressed as SLAs.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L040","Cross Team Working Agreements","1","When SLAs are not met, efforts are made to retrospect and identify cause.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L041","Cross Team Working Agreements","1","Inspection of unmet agreements result in continuous improvement changes.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L042","Cross Team Working Agreements","2","Teams work together to proactively find and address problems before they arise.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L043","Cross Team Working Agreements","2","Improvements are implemented that will break down the cross-team dependencies such as empowering teams to perform functions internally.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L044","Cross Team Working Agreements","3","Meritocracy is used among teams.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L045","Cross Team Working Agreements","3","Self-organizing approaches to collaboration have emerged and are providing significant value to teams.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L046","Business Partner Working Agreements","-1","There are frequent misunderstandings around scope and schedule.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L047","Business Partner Working Agreements","-1","Business partners are not clear on their role or are not providing support needed to be successful.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L048","Business Partner Working Agreements","-1","Poor transparency, inconsistent information as to real project status.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L049","Business Partner Working Agreements","1","There are realistic expectations as to how scope and schedule will be managed.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L050","Business Partner Working Agreements","1","There is a partially defined understanding of roles and responsibilities between the business and engineering teams.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L051","Business Partner Working Agreements","1","Informal expectations or agreement on how the team should interact with the business or what the business should expect from the team exist.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L052","Business Partner Working Agreements","1","When the business adds new scope, realistic tradeoffs are made.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L053","Business Partner Working Agreements","1","Roles and expectations are clear and understood by all parties.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L054","Business Partner Working Agreements","1","The project management approach is well-understood and agreed upon","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L055","Business Partner Working Agreements","1","Both parties are committed to transparency and reality-based management and agree adjustments to scope and timeline will be negotiated as risks emerge.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L056","Business Partner Working Agreements","1","The backlog is the only mechanism by which scope is managed.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","absolute wording; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L057","Business Partner Working Agreements","2","The business partner has taken steps to revise their governance (which may be a tollgate process) to align to the development team's agile processes.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L058","Business Partner Working Agreements","3","Business and Engineering form true collaborative partnership.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L059","Business Partner Working Agreements","3","Engineering is a key player in driving product strategic direction, while business team leverages agile process to drive discovery and critical learning to guide business direction.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L060","Release Planning","-1","Estimates are not done by the team who will be doing the work.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L061","Release Planning","-1","There is no flexibility on resources, scope, or timeframe (iron triangle).","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L062","Release Planning","-1","The team is asked to commit without a realistic plan.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L063","Release Planning","1","Only a subset of key stakeholders and functional groups are consistently involved in release planning activities.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L064","Release Planning","1","Team capacity is considered during release planning.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L065","Release Planning","1","Team velocity (if available) is considered during release planning.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L066","Release Planning","1","Planning is completed in a reasonable time and completed before the start of the next release.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L067","Release Planning","1","There is an understanding that scope will change during the release as new information is discovered.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L068","Release Planning","1","Risks, opportunities, and assumptions are made visible.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L069","Release Planning","1","The release plan covers a time box no larger than 3 months and if larger than six weeks, includes at least 1 internal release (UAT).","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L070","Release Planning","1","Clear and measurable success criteria for the release have been agreed upon and documented.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L071","Release Planning","1","All key stakeholders and functions are included.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L072","Release Planning","1","Adequate slack is left in the plan to allow for discovery and risk.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L073","Release Planning","2","The release plan considers historical performance beyond just velocity.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L074","Release Planning","2","The release plan is well-understood by the team and reviewed and reworked on a regular basis.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L075","Release Planning","2","Just enough UX and architectural runway work for this release was done ahead of time.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L076","Release Planning","3","The team and stakeholders are readily available at short notice to build or update the release plan.","split-or-operationalize","Assumes respondents can accurately report the operational condition without a defined window or data source.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L077","Release Planning","3","The team applies the concept of MVP to advantage and is skilled at crafting a scope that answers critical questions and tests assumptions.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L078","Business Goals & Objectives","-1","Vague expressions of need received from the business.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L079","Business Goals & Objectives","-1","The business is not bought into our methodology around requirements definition.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L080","Business Goals & Objectives","1","There are less than 20 high level goals.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L081","Business Goals & Objectives","1","Goals map back to users and their problems.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L082","Business Goals & Objectives","1","Goals have metrics (KPI's) that will prove business value delivered.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L083","Business Goals & Objectives","1","There are less than 12 high level goals.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L084","Business Goals & Objectives","1","Relative prioritization of the business goals and objectives is in place.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L085","Business Goals & Objectives","1","There is clear traceability from business goals to the release backlog.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L086","Business Goals & Objectives","1","Business goals are revisited after each deployment, reviewed and updated.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
